threads,workload,total_requests,total_success,total_fail,throughput,avg_latency_ms

4,put_all,2149,2149,0,35.8167,111.84
8,put_all,4830,4830,0,80.5,99.4879
16,put_all,9459,9459,0,157.65,101.594
32,put_all,11920,11920,0,198.667,161.209
32,put_all,12064,12064,0,201.067,159.289
128,put_all,12167,12166,1,202.767,633.001
128,put_all,26128,26026,102,433.767,295.9
64,put_all,25730,25728,2,428.8,149.447
256,put_all,26284,25934,350,432.233,594.436
64,get_popular,87077,87077,0,1451.28,44.1151
256,get_popular,136252,136252,0,2270.87,112.772
512,get_popular,136538,136538,0,2275.63,225.212
512,get_popular,136384,136384,0,2273.07,225.392
512,get_popular,136593,136593,0,2276.55,225.045
4,put_all,10764,10764,0,35.88,111.506
